recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_lemma
1,2,-0.6931471805599453,0.5,-0.5,0.120433569,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.07933044434,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2002809048,-0.5,feed
1,11,-2.3978952727983707,0.5,-0.5,0.3747253418,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1289687157,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.03079462051,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.226151228,-0.5,tell
1,6,-1.791759469228055,0.5,-0.5,0.04696559906,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1086144447,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.3264584541,-0.5,give
1,1,0.0,0.5,0.5,-0.4818689823,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.2134974003,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.4259500504,-0.5,award
1,2,-0.6931471805599453,0.5,-0.5,-0.1865961552,-0.5,sell
1,2,-0.6931471805599453,0.5,-0.5,-0.005484104156,-0.5,give
1,1,0.0,0.5,0.5,0.1982131004,-0.5,tell
1,4,-1.3862943611198906,0.5,-0.5,-0.001253604889,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.5431194305,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.6054244041,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.3073511124,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.4443693161,-0.5,get
1,4,-1.3862943611198906,0.5,-0.5,0.1035544872,-0.5,send
1,2,-0.6931471805599453,0.5,-0.5,0.9183368683,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.3084702492,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.08518314362,-0.5,give
1,18,-2.890371757896165,0.5,-0.5,0.0237288475,-0.5,get
1,1,0.0,0.5,-0.5,0.1871337891,-0.5,take
1,2,-0.6931471805599453,0.5,-0.5,0.3187417984,-0.5,give
1,1,0.0,0.5,-0.5,0.3535563946,-0.5,give
1,1,0.0,0.5,0.5,-0.3981375694,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.0948843956,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,0.004755973816,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.1086139679,-0.5,give
1,1,0.0,0.5,0.5,0.2434034348,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,-0.1197957993,-0.5,give
1,1,0.0,0.5,0.5,-0.017567873,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.07862901688,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.5145304203,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.355992794,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.04887700081,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1503787041,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2432341576,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1975729465,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.02043223381,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,0.2585332394,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.05872535706,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,-0.0332403183,-0.5,give
1,1,0.0,0.5,-0.5,0.4521198273,-0.5,feed
1,2,-0.6931471805599453,0.5,-0.5,-0.4722414017,-0.5,build
1,3,-1.0986122886681098,0.5,-0.5,-0.0155544281,-0.5,give
1,1,0.0,0.5,0.5,0.0875210762,-0.5,tell
1,1,0.0,0.5,0.5,0.7405221462,-0.5,ask
1,3,-1.0986122886681098,0.5,0.5,1.259435654,-0.5,tell
1,7,-1.9459101490553135,0.5,-0.5,1.254729748,-0.5,give
1,8,-2.0794415416798357,0.5,-0.5,-0.03489279747,-0.5,give
1,1,0.0,0.5,0.5,-0.2760667801,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,-0.09663486481,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.435333252,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-1.137689829,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.09369492531,-0.5,get
1,4,-1.3862943611198906,0.5,-0.5,0.5666601658,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.2721521854,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.221313715,-0.5,show
1,1,0.0,0.5,0.5,0.002341508865,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.1150691509,-0.5,give
1,1,0.0,0.5,-0.5,-0.1605522633,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.2438817024,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.08092141151,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.170987606,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2014977932,-0.5,teach
1,3,-1.0986122886681098,0.5,-0.5,-0.4555706978,-0.5,cut
1,1,0.0,0.5,0.5,-0.06023597717,-0.5,pay
1,3,-1.0986122886681098,0.5,-0.5,-0.2702133656,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,0.4183921814,-0.5,give
1,1,0.0,0.5,-0.5,-0.1144728661,-0.5,bring
1,1,0.0,0.5,0.5,0.5610830784,-0.5,tell
1,5,-1.6094379124341003,0.5,-0.5,-0.08998632431,-0.5,leave
1,2,-0.6931471805599453,0.5,-0.5,-0.5778484344,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,-0.03922128677,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.05200219154,-0.5,get
